datum_von,datum_bis,jahr,monat,land,handelsart,handelsmenge_mwh,handelsmenge_abs_mwh,ist_gesamt
2019-04-01,2019-05-01,2019,4,Oesterreich,Import,-122115.0,122115.0,False
2019-04-01,2019-05-01,2019,4,Polen,Export,234309.0,234309.0,False
2019-04-01,2019-05-01,2019,4,Polen,Import,-9421.0,9421.0,False
2019-04-01,2019-05-01,2019,4,Schweden,Export,68990.0,68990.0,False
2019-04-01,2019-05-01,2019,4,Schweden,Import,-110527.0,110527.0,False
2019-04-01,2019-05-01,2019,4,Schweiz,Export,491796.0,491796.0,False
2019-04-01,2019-05-01,2019,4,Schweiz,Import,-406937.0,406937.0,False
2019-04-01,2019-05-01,2019,4,Tschechien,Export,895045.0,895045.0,False
2019-04-01,2019-05-01,2019,4,Tschechien,Import,-593280.0,593280.0,False
2019-05-01,2019-06-01,2019,5,Daenemark,Export,604539.0,604539.0,False
2019-05-01,2019-06-01,2019,5,Daenemark,Import,-559493.0,559493.0,False
2019-05-01,2019-06-01,2019,5,Frankreich,Export,161831.0,161831.0,False
2019-05-01,2019-06-01,2019,5,Frankreich,Import,-1214037.0,1214037.0,False
2019-05-01,2019-06-01,2019,5,Gesamt,Nettoexport,59814.0,59814.0,True
2019-05-01,2019-06-01,2019,5,Luxemburg,Export,346161.0,346161.0,False
2019-05-01,2019-06-01,2019,5,Luxemburg,Import,0.0,0.0,False
2019-05-01,2019-06-01,2019,5,Niederlande,Export,644029.0,644029.0,False
2019-05-01,2019-06-01,2019,5,Niederlande,Import,-495455.0,495455.0,False
2019-05-01,2019-06-01,2019,5,Oesterreich,Export,1123716.0,1123716.0,False
2019-05-01,2019-06-01,2019,5,Oesterreich,Import,-163784.0,163784.0,False
2019-05-01,2019-06-01,2019,5,Polen,Export,121940.0,121940.0,False
2019-05-01,2019-06-01,2019,5,Polen,Import,-2421.0,2421.0,False
2019-05-01,2019-06-01,2019,5,Schweden,Export,21810.0,21810.0,False
2019-05-01,2019-06-01,2019,5,Schweden,Import,-114228.0,114228.0,False
2019-05-01,2019-06-01,2019,5,Schweiz,Export,275008.0,275008.0,False
2019-05-01,2019-06-01,2019,5,Schweiz,Import,-598844.0,598844.0,False
2019-05-01,2019-06-01,2019,5,Tschechien,Export,240204.0,240204.0,False
2019-05-01,2019-06-01,2019,5,Tschechien,Import,-331162.0,331162.0,False
2019-06-01,2019-07-01,2019,6,Daenemark,Export,290943.0,290943.0,False
2019-06-01,2019-07-01,2019,6,Daenemark,Import,-785160.0,785160.0,False
2019-06-01,2019-07-01,2019,6,Frankreich,Export,123936.0,123936.0,False
2019-06-01,2019-07-01,2019,6,Frankreich,Import,-1195265.0,1195265.0,False
2019-06-01,2019-07-01,2019,6,Gesamt,Nettoexport,-829351.0,829351.0,True
2019-06-01,2019-07-01,2019,6,Luxemburg,Export,344098.0,344098.0,False
2019-06-01,2019-07-01,2019,6,Luxemburg,Import,0.0,0.0,False
2019-06-01,2019-07-01,2019,6,Niederlande,Export,763999.0,763999.0,False
2019-06-01,2019-07-01,2019,6,Niederlande,Import,-253583.0,253583.0,False
2019-06-01,2019-07-01,2019,6,Oesterreich,Export,839583.0,839583.0,False
2019-06-01,2019-07-01,2019,6,Oesterreich,Import,-177233.0,177233.0,False
2019-06-01,2019-07-01,2019,6,Polen,Export,261495.0,261495.0,False
2019-06-01,2019-07-01,2019,6,Polen,Import,-4630.0,4630.0,False
2019-06-01,2019-07-01,2019,6,Schweden,Export,13344.0,13344.0,False
2019-06-01,2019-07-01,2019,6,Schweden,Import,-234139.0,234139.0,False
2019-06-01,2019-07-01,2019,6,Schweiz,Export,133423.0,133423.0,False
2019-06-01,2019-07-01,2019,6,Schweiz,Import,-1049034.0,1049034.0,False
2019-06-01,2019-07-01,2019,6,Tschechien,Export,694421.0,694421.0,False
2019-06-01,2019-07-01,2019,6,Tschechien,Import,-595549.0,595549.0,False
2019-07-01,2019-08-01,2019,7,Daenemark,Export,346781.0,346781.0,False
2019-07-01,2019-08-01,2019,7,Daenemark,Import,-729614.0,729614.0,False
2019-07-01,2019-08-01,2019,7,Frankreich,Export,241848.0,241848.0,False
2019-07-01,2019-08-01,2019,7,Frankreich,Import,-1020318.0,1020318.0,False
2019-07-01,2019-08-01,2019,7,Gesamt,Nettoexport,261658.0,261658.0,True
2019-07-01,2019-08-01,2019,7,Luxemburg,Export,358442.0,358442.0,False
2019-07-01,2019-08-01,2019,7,Luxemburg,Import,-2096.0,2096.0,False
2019-07-01,2019-08-01,2019,7,Niederlande,Export,519816.0,519816.0,False
2019-07-01,2019-08-01,2019,7,Niederlande,Import,-479571.0,479571.0,False
2019-07-01,2019-08-01,2019,7,Oesterreich,Export,1627117.0,1627117.0,False
2019-07-01,2019-08-01,2019,7,Oesterreich,Import,-37132.0,37132.0,False
2019-07-01,2019-08-01,2019,7,Polen,Export,265720.0,265720.0,False
2019-07-01,2019-08-01,2019,7,Polen,Import,-6963.0,6963.0,False
2019-07-01,2019-08-01,2019,7,Schweden,Export,19231.0,19231.0,False
2019-07-01,2019-08-01,2019,7,Schweden,Import,-221885.0,221885.0,False
2019-07-01,2019-08-01,2019,7,Schweiz,Export,153845.0,153845.0,False
2019-07-01,2019-08-01,2019,7,Schweiz,Import,-1206569.0,1206569.0,False
2019-07-01,2019-08-01,2019,7,Tschechien,Export,768218.0,768218.0,False
2019-07-01,2019-08-01,2019,7,Tschechien,Import,-335212.0,335212.0,False
2019-08-01,2019-09-01,2019,8,Daenemark,Export,805892.0,805892.0,False
2019-08-01,2019-09-01,2019,8,Daenemark,Import,-199987.0,199987.0,False
2019-08-01,2019-09-01,2019,8,Frankreich,Export,154710.0,154710.0,False
2019-08-01,2019-09-01,2019,8,Frankreich,Import,-1574942.0,1574942.0,False
2019-08-01,2019-09-01,2019,8,Gesamt,Nettoexport,-241987.0,241987.0,True
2019-08-01,2019-09-01,2019,8,Luxemburg,Export,337206.0,337206.0,False
2019-08-01,2019-09-01,2019,8,Luxemburg,Import,-3027.0,3027.0,False
2019-08-01,2019-09-01,2019,8,Niederlande,Export,272046.0,272046.0,False
2019-08-01,2019-09-01,2019,8,Niederlande,Import,-568347.0,568347.0,False
2019-08-01,2019-09-01,2019,8,Oesterreich,Export,1399446.0,1399446.0,False
2019-08-01,2019-09-01,2019,8,Oesterreich,Import,-45629.0,45629.0,False
2019-08-01,2019-09-01,2019,8,Polen,Export,229258.0,229258.0,False
2019-08-01,2019-09-01,2019,8,Polen,Import,-3738.0,3738.0,False
2019-08-01,2019-09-01,2019,8,Schweden,Export,94442.0,94442.0,False
2019-08-01,2019-09-01,2019,8,Schweden,Import,-86108.0,86108.0,False
2019-08-01,2019-09-01,2019,8,Schweiz,Export,95004.0,95004.0,False
2019-08-01,2019-09-01,2019,8,Schweiz,Import,-1346842.0,1346842.0,False
2019-08-01,2019-09-01,2019,8,Tschechien,Export,672390.0,672390.0,False
2019-08-01,2019-09-01,2019,8,Tschechien,Import,-473761.0,473761.0,False
2019-09-01,2019-10-01,2019,9,Daenemark,Export,492707.0,492707.0,False
2019-09-01,2019-10-01,2019,9,Daenemark,Import,-565566.0,565566.0,False
2019-09-01,2019-10-01,2019,9,Frankreich,Export,273516.0,273516.0,False
2019-09-01,2019-10-01,2019,9,Frankreich,Import,-964809.0,964809.0,False
2019-09-01,2019-10-01,2019,9,Gesamt,Nettoexport,1391302.0,1391302.0,True
2019-09-01,2019-10-01,2019,9,Luxemburg,Export,344995.0,344995.0,False
2019-09-01,2019-10-01,2019,9,Luxemburg,Import,0.0,0.0,False
2019-09-01,2019-10-01,2019,9,Niederlande,Export,252099.0,252099.0,False
2019-09-01,2019-10-01,2019,9,Niederlande,Import,-719864.0,719864.0,False
2019-09-01,2019-10-01,2019,9,Oesterreich,Export,2036166.0,2036166.0,False
2019-09-01,2019-10-01,2019,9,Oesterreich,Import,-23130.0,23130.0,False
2019-09-01,2019-10-01,2019,9,Polen,Export,204703.0,204703.0,False
2019-09-01,2019-10-01,2019,9,Polen,Import,-5585.0,5585.0,False
2019-09-01,2019-10-01,2019,9,Schweden,Export,44630.0,44630.0,False
2019-09-01,2019-10-01,2019,9,Schweden,Import,-97692.0,97692.0,False
2019-09-01,2019-10-01,2019,9,Schweiz,Export,412183.0,412183.0,False
2019-09-01,2019-10-01,2019,9,Schweiz,Import,-496468.0,496468.0,False
2019-09-01,2019-10-01,2019,9,Tschechien,Export,499394.0,499394.0,False
2019-09-01,2019-10-01,2019,9,Tschechien,Import,-295977.0,295977.0,False
2019-10-01,2019-11-01,2019,10,Daenemark,Export,831736.0,831736.0,False
2019-10-01,2019-11-01,2019,10,Daenemark,Import,-324287.0,324287.0,False
2019-10-01,2019-11-01,2019,10,Frankreich,Export,656296.0,656296.0,False
2019-10-01,2019-11-01,2019,10,Frankreich,Import,-456830.0,456830.0,False
2019-10-01,2019-11-01,2019,10,Gesamt,Nettoexport,4219996.0,4219996.0,True
2019-10-01,2019-11-01,2019,10,Luxemburg,Export,360580.0,360580.0,False
2019-10-01,2019-11-01,2019,10,Luxemburg,Import,0.0,0.0,False
2019-10-01,2019-11-01,2019,10,Niederlande,Export,427417.0,427417.0,False
2019-10-01,2019-11-01,2019,10,Niederlande,Import,-437503.0,437503.0,False
2019-10-01,2019-11-01,2019,10,Oesterreich,Export,2412621.0,2412621.0,False
2019-10-01,2019-11-01,2019,10,Oesterreich,Import,-12222.0,12222.0,False
2019-10-01,2019-11-01,2019,10,Polen,Export,256673.0,256673.0,False
2019-10-01,2019-11-01,2019,10,Polen,Import,-4283.0,4283.0,False
2019-10-01,2019-11-01,2019,10,Schweden,Export,29373.0,29373.0,False
2019-10-01,2019-11-01,2019,10,Schweden,Import,-18358.0,18358.0,False
2019-10-01,2019-11-01,2019,10,Schweiz,Export,563908.0,563908.0,False
2019-10-01,2019-11-01,2019,10,Schweiz,Import,-173528.0,173528.0,False
2019-10-01,2019-11-01,2019,10,Tschechien,Export,549431.0,549431.0,False
2019-10-01,2019-11-01,2019,10,Tschechien,Import,-441028.0,441028.0,False
2019-11-01,2019-12-01,2019,11,Daenemark,Export,775049.0,775049.0,False
2019-11-01,2019-12-01,2019,11,Daenemark,Import,-367174.0,367174.0,False
2019-11-01,2019-12-01,2019,11,Frankreich,Export,1591258.0,1591258.0,False
2019-11-01,2019-12-01,2019,11,Frankreich,Import,-319404.0,319404.0,False
2019-11-01,2019-12-01,2019,11,Gesamt,Nettoexport,4102686.0,4102686.0,True
2019-11-01,2019-12-01,2019,11,Luxemburg,Export,357897.0,357897.0,False
2019-11-01,2019-12-01,2019,11,Luxemburg,Import,0.0,0.0,False
2019-11-01,2019-12-01,2019,11,Niederlande,Export,535091.0,535091.0,False
2019-11-01,2019-12-01,2019,11,Niederlande,Import,-215791.0,215791.0,False
2019-11-01,2019-12-01,2019,11,Oesterreich,Export,1099364.0,1099364.0,False
2019-11-01,2019-12-01,2019,11,Oesterreich,Import,-132047.0,132047.0,False
2019-11-01,2019-12-01,2019,11,Polen,Export,287938.0,287938.0,False
2019-11-01,2019-12-01,2019,11,Polen,Import,-23951.0,23951.0,False
2019-11-01,2019-12-01,2019,11,Schweden,Export,71326.0,71326.0,False
2019-11-01,2019-12-01,2019,11,Schweden,Import,-65998.0,65998.0,False
2019-11-01,2019-12-01,2019,11,Schweiz,Export,653821.0,653821.0,False
2019-11-01,2019-12-01,2019,11,Schweiz,Import,-92248.0,92248.0,False
2019-11-01,2019-12-01,2019,11,Tschechien,Export,532679.0,532679.0,False
2019-11-01,2019-12-01,2019,11,Tschechien,Import,-585124.0,585124.0,False
2019-12-01,2020-01-01,2019,12,Daenemark,Export,844347.0,844347.0,False
2019-12-01,2020-01-01,2019,12,Daenemark,Import,-605333.0,605333.0,False
2019-12-01,2020-01-01,2019,12,Frankreich,Export,1248295.0,1248295.0,False
2019-12-01,2020-01-01,2019,12,Frankreich,Import,-444058.0,444058.0,False
2019-12-01,2020-01-01,2019,12,Gesamt,Nettoexport,4565951.0,4565951.0,True
2019-12-01,2020-01-01,2019,12,Luxemburg,Export,333736.0,333736.0,False
2019-12-01,2020-01-01,2019,12,Luxemburg,Import,0.0,0.0,False
2019-12-01,2020-01-01,2019,12,Niederlande,Export,589645.0,589645.0,False
2019-12-01,2020-01-01,2019,12,Niederlande,Import,-138689.0,138689.0,False
2019-12-01,2020-01-01,2019,12,Oesterreich,Export,2199808.0,2199808.0,False
2019-12-01,2020-01-01,2019,12,Oesterreich,Import,-72114.0,72114.0,False
2019-12-01,2020-01-01,2019,12,Polen,Export,218287.0,218287.0,False
2019-12-01,2020-01-01,2019,12,Polen,Import,-44271.0,44271.0,False
2019-12-01,2020-01-01,2019,12,Schweden,Export,54872.0,54872.0,False
2019-12-01,2020-01-01,2019,12,Schweden,Import,-103246.0,103246.0,False
2019-12-01,2020-01-01,2019,12,Schweiz,Export,460010.0,460010.0,False
2019-12-01,2020-01-01,2019,12,Schweiz,Import,-193397.0,193397.0,False
2019-12-01,2020-01-01,2019,12,Tschechien,Export,616281.0,616281.0,False
2019-12-01,2020-01-01,2019,12,Tschechien,Import,-398222.0,398222.0,False
2020-01-01,2020-02-01,2020,1,Daenemark,Export,119033.0,119033.0,False
2020-01-01,2020-02-01,2020,1,Daenemark,Import,-1114494.0,1114494.0,False
2020-01-01,2020-02-01,2020,1,Frankreich,Export,1243716.0,1243716.0,False
2020-01-01,2020-02-01,2020,1,Frankreich,Import,-260765.0,260765.0,False
2020-01-01,2020-02-01,2020,1,Gesamt,Nettoexport,4239076.0,4239076.0,True
2020-01-01,2020-02-01,2020,1,Luxemburg,Export,353359.0,353359.0,False
2020-01-01,2020-02-01,2020,1,Luxemburg,Import,0.0,0.0,False
2020-01-01,2020-02-01,2020,1,Niederlande,Export,409976.0,409976.0,False
2020-01-01,2020-02-01,2020,1,Niederlande,Import,-416353.0,416353.0,False
2020-01-01,2020-02-01,2020,1,Oesterreich,Export,2996430.0,2996430.0,False
2020-01-01,2020-02-01,2020,1,Oesterreich,Import,-1663.0,1663.0,False
2020-01-01,2020-02-01,2020,1,Polen,Export,147425.0,147425.0,False
2020-01-01,2020-02-01,2020,1,Polen,Import,-112775.0,112775.0,False
2020-01-01,2020-02-01,2020,1,Schweden,Export,1917.0,1917.0,False
2020-01-01,2020-02-01,2020,1,Schweden,Import,-386705.0,386705.0,False
2020-01-01,2020-02-01,2020,1,Schweiz,Export,527815.0,527815.0,False
2020-01-01,2020-02-01,2020,1,Schweiz,Import,-40122.0,40122.0,False
2020-01-01,2020-02-01,2020,1,Tschechien,Export,949150.0,949150.0,False
2020-01-01,2020-02-01,2020,1,Tschechien,Import,-176868.0,176868.0,False
2020-02-01,2020-03-01,2020,2,Daenemark,Export,457673.0,457673.0,False
2020-02-01,2020-03-01,2020,2,Daenemark,Import,-901522.0,901522.0,False
2020-02-01,2020-03-01,2020,2,Frankreich,Export,804089.0,804089.0,False
2020-02-01,2020-03-01,2020,2,Frankreich,Import,-515305.0,515305.0,False
2020-02-01,2020-03-01,2020,2,Gesamt,Nettoexport,3669607.0,3669607.0,True
2020-02-01,2020-03-01,2020,2,Luxemburg,Export,315606.0,315606.0,False
