datum_von,datum_bis,energietraeger,erzeugung_mwh,jahr,monat
2019-08-01,2019-09-01,Biomasse,3040474.5,2019,8
2019-08-01,2019-09-01,Braunkohle,7963573.5,2019,8
2019-08-01,2019-09-01,Erdgas,4761704.0,2019,8
2019-08-01,2019-09-01,Kernenergie,5477134.5,2019,8
2019-08-01,2019-09-01,Photovoltaik,5275760.5,2019,8
2019-08-01,2019-09-01,Pumpspeicher,680880.5,2019,8
2019-08-01,2019-09-01,Sonstige Erneuerbare,110827.0,2019,8
2019-08-01,2019-09-01,Sonstige Konventionelle,1114498.5,2019,8
2019-08-01,2019-09-01,Steinkohle,2870519.0,2019,8
2019-08-01,2019-09-01,Wasserkraft,1671588.25,2019,8
2019-08-01,2019-09-01,Wind offshore,1420358.0,2019,8
2019-08-01,2019-09-01,Wind onshore,4480606.25,2019,8
2019-09-01,2019-10-01,Biomasse,2913078.25,2019,9
2019-09-01,2019-10-01,Braunkohle,7732347.25,2019,9
2019-09-01,2019-10-01,Erdgas,4864777.0,2019,9
2019-09-01,2019-10-01,Kernenergie,5786838.25,2019,9
2019-09-01,2019-10-01,Photovoltaik,3904711.25,2019,9
2019-09-01,2019-10-01,Pumpspeicher,627388.0,2019,9
2019-09-01,2019-10-01,Sonstige Erneuerbare,119149.5,2019,9
2019-09-01,2019-10-01,Sonstige Konventionelle,1048792.25,2019,9
2019-09-01,2019-10-01,Steinkohle,2492701.25,2019,9
2019-09-01,2019-10-01,Wasserkraft,1318253.75,2019,9
2019-09-01,2019-10-01,Wind offshore,2052798.0,2019,9
2019-09-01,2019-10-01,Wind onshore,7125740.75,2019,9
2019-10-01,2019-11-01,Biomasse,3363461.0,2019,10
2019-10-01,2019-11-01,Braunkohle,8435242.5,2019,10
2019-10-01,2019-11-01,Erdgas,5829798.75,2019,10
2019-10-01,2019-11-01,Kernenergie,6748427.0,2019,10
2019-10-01,2019-11-01,Photovoltaik,2412895.25,2019,10
2019-10-01,2019-11-01,Pumpspeicher,793108.25,2019,10
2019-10-01,2019-11-01,Sonstige Erneuerbare,138114.25,2019,10
2019-10-01,2019-11-01,Sonstige Konventionelle,1173249.25,2019,10
2019-10-01,2019-11-01,Steinkohle,3768657.5,2019,10
2019-10-01,2019-11-01,Wasserkraft,1266310.0,2019,10
2019-10-01,2019-11-01,Wind offshore,2334587.5,2019,10
2019-10-01,2019-11-01,Wind onshore,9338036.25,2019,10
2019-11-01,2019-12-01,Biomasse,3361656.75,2019,11
2019-11-01,2019-12-01,Braunkohle,10041708.25,2019,11
2019-11-01,2019-12-01,Erdgas,5268347.5,2019,11
2019-11-01,2019-12-01,Kernenergie,6460100.75,2019,11
2019-11-01,2019-12-01,Photovoltaik,1027432.25,2019,11
2019-11-01,2019-12-01,Pumpspeicher,669275.75,2019,11
2019-11-01,2019-12-01,Sonstige Erneuerbare,146075.5,2019,11
2019-11-01,2019-12-01,Sonstige Konventionelle,1164676.25,2019,11
2019-11-01,2019-12-01,Steinkohle,6042079.5,2019,11
2019-11-01,2019-12-01,Wasserkraft,1205944.75,2019,11
2019-11-01,2019-12-01,Wind offshore,2224609.5,2019,11
2019-11-01,2019-12-01,Wind onshore,7854295.0,2019,11
2019-12-01,2020-01-01,Biomasse,3595358.25,2019,12
2019-12-01,2020-01-01,Braunkohle,7663102.25,2019,12
2019-12-01,2020-01-01,Erdgas,4526487.75,2019,12
2019-12-01,2020-01-01,Kernenergie,6523889.5,2019,12
2019-12-01,2020-01-01,Photovoltaik,913235.0,2019,12
2019-12-01,2020-01-01,Pumpspeicher,808947.75,2019,12
2019-12-01,2020-01-01,Sonstige Erneuerbare,162185.0,2019,12
2019-12-01,2020-01-01,Sonstige Konventionelle,1268319.0,2019,12
2019-12-01,2020-01-01,Steinkohle,3657092.75,2019,12
2019-12-01,2020-01-01,Wasserkraft,1141777.25,2019,12
2019-12-01,2020-01-01,Wind offshore,3028489.0,2019,12
2019-12-01,2020-01-01,Wind onshore,12171117.75,2019,12
2020-01-01,2020-02-01,Biomasse,3584790.5,2020,1
2020-01-01,2020-02-01,Braunkohle,7986459.5,2020,1
2020-01-01,2020-02-01,Erdgas,6527666.0,2020,1
2020-01-01,2020-02-01,Kernenergie,5811035.75,2020,1
2020-01-01,2020-02-01,Photovoltaik,1083114.75,2020,1
2020-01-01,2020-02-01,Pumpspeicher,910279.75,2020,1
2020-01-01,2020-02-01,Sonstige Erneuerbare,161969.75,2020,1
2020-01-01,2020-02-01,Sonstige Konventionelle,1244904.75,2020,1
2020-01-01,2020-02-01,Steinkohle,4578941.0,2020,1
2020-01-01,2020-02-01,Wasserkraft,1050255.0,2020,1
2020-01-01,2020-02-01,Wind offshore,3280590.5,2020,1
2020-01-01,2020-02-01,Wind onshore,12634957.0,2020,1
2020-02-01,2020-03-01,Biomasse,3323290.75,2020,2
2020-02-01,2020-03-01,Braunkohle,5044713.75,2020,2
2020-02-01,2020-03-01,Erdgas,4726412.0,2020,2
2020-02-01,2020-03-01,Kernenergie,5164492.75,2020,2
2020-02-01,2020-03-01,Photovoltaik,1679636.5,2020,2
2020-02-01,2020-03-01,Pumpspeicher,922133.0,2020,2
2020-02-01,2020-03-01,Sonstige Erneuerbare,145201.5,2020,2
2020-02-01,2020-03-01,Sonstige Konventionelle,1000589.25,2020,2
2020-02-01,2020-03-01,Steinkohle,2356824.25,2020,2
2020-02-01,2020-03-01,Wasserkraft,1246883.25,2020,2
2020-02-01,2020-03-01,Wind offshore,2995582.25,2020,2
2020-02-01,2020-03-01,Wind onshore,17187771.0,2020,2
2020-03-01,2020-04-01,Biomasse,3513606.5,2020,3
2020-03-01,2020-04-01,Braunkohle,6151765.5,2020,3
2020-03-01,2020-04-01,Erdgas,4887004.25,2020,3
2020-03-01,2020-04-01,Kernenergie,5400916.25,2020,3
2020-03-01,2020-04-01,Photovoltaik,4119597.0,2020,3
2020-03-01,2020-04-01,Pumpspeicher,983767.5,2020,3
2020-03-01,2020-04-01,Sonstige Erneuerbare,154650.75,2020,3
2020-03-01,2020-04-01,Sonstige Konventionelle,1126405.75,2020,3
2020-03-01,2020-04-01,Steinkohle,2719805.5,2020,3
2020-03-01,2020-04-01,Wasserkraft,1281694.0,2020,3
2020-03-01,2020-04-01,Wind offshore,2627413.5,2020,3
2020-03-01,2020-04-01,Wind onshore,11514760.5,2020,3
2020-04-01,2020-05-01,Biomasse,3330503.75,2020,4
2020-04-01,2020-05-01,Braunkohle,4313587.25,2020,4
2020-04-01,2020-05-01,Erdgas,3823315.0,2020,4
2020-04-01,2020-05-01,Kernenergie,4726388.25,2020,4
2020-04-01,2020-05-01,Photovoltaik,6384310.75,2020,4
2020-04-01,2020-05-01,Pumpspeicher,1020853.0,2020,4
2020-04-01,2020-05-01,Sonstige Erneuerbare,129625.5,2020,4
2020-04-01,2020-05-01,Sonstige Konventionelle,1043896.5,2020,4
2020-04-01,2020-05-01,Steinkohle,1321970.5,2020,4
2020-04-01,2020-05-01,Wasserkraft,1136244.25,2020,4
2020-04-01,2020-05-01,Wind offshore,1832053.0,2020,4
2020-04-01,2020-05-01,Wind onshore,6971017.25,2020,4
2020-05-01,2020-06-01,Biomasse,3447324.75,2020,5
2020-05-01,2020-06-01,Braunkohle,4311633.0,2020,5
2020-05-01,2020-06-01,Erdgas,4490658.25,2020,5
2020-05-01,2020-06-01,Kernenergie,4285016.5,2020,5
2020-05-01,2020-06-01,Photovoltaik,6226952.0,2020,5
2020-05-01,2020-06-01,Pumpspeicher,959216.75,2020,5
2020-05-01,2020-06-01,Sonstige Erneuerbare,131174.5,2020,5
2020-05-01,2020-06-01,Sonstige Konventionelle,1105483.75,2020,5
2020-05-01,2020-06-01,Steinkohle,1583808.25,2020,5
2020-05-01,2020-06-01,Wasserkraft,1422533.5,2020,5
2020-05-01,2020-06-01,Wind offshore,1567378.25,2020,5
2020-05-01,2020-06-01,Wind onshore,6113286.75,2020,5
2020-06-01,2020-07-01,Biomasse,3165700.25,2020,6
2020-06-01,2020-07-01,Braunkohle,5882842.5,2020,6
2020-06-01,2020-07-01,Erdgas,5578799.75,2020,6
2020-06-01,2020-07-01,Kernenergie,4659172.25,2020,6
2020-06-01,2020-07-01,Photovoltaik,5698328.25,2020,6
2020-06-01,2020-07-01,Pumpspeicher,794026.5,2020,6
2020-06-01,2020-07-01,Sonstige Erneuerbare,103986.25,2020,6
2020-06-01,2020-07-01,Sonstige Konventionelle,776530.25,2020,6
2020-06-01,2020-07-01,Steinkohle,1441424.25,2020,6
2020-06-01,2020-07-01,Wasserkraft,1630928.75,2020,6
2020-06-01,2020-07-01,Wind offshore,1441552.0,2020,6
2020-06-01,2020-07-01,Wind onshore,4965069.5,2020,6
2020-07-01,2020-08-01,Biomasse,3246063.5,2020,7
2020-07-01,2020-08-01,Braunkohle,6366929.25,2020,7
2020-07-01,2020-08-01,Erdgas,6290186.5,2020,7
2020-07-01,2020-08-01,Kernenergie,4229939.75,2020,7
2020-07-01,2020-08-01,Photovoltaik,6246936.75,2020,7
2020-07-01,2020-08-01,Pumpspeicher,895846.75,2020,7
2020-07-01,2020-08-01,Sonstige Erneuerbare,109684.25,2020,7
2020-07-01,2020-08-01,Sonstige Konventionelle,985705.25,2020,7
2020-07-01,2020-08-01,Steinkohle,1579624.75,2020,7
2020-07-01,2020-08-01,Wasserkraft,1660735.25,2020,7
2020-07-01,2020-08-01,Wind offshore,1565520.25,2020,7
2020-07-01,2020-08-01,Wind onshore,5461704.0,2020,7
2020-08-01,2020-09-01,Biomasse,3182440.5,2020,8
2020-08-01,2020-09-01,Braunkohle,7814266.0,2020,8
2020-08-01,2020-09-01,Erdgas,5718010.5,2020,8
2020-08-01,2020-09-01,Kernenergie,5593770.0,2020,8
2020-08-01,2020-09-01,Photovoltaik,5413069.5,2020,8
2020-08-01,2020-09-01,Pumpspeicher,898421.75,2020,8
2020-08-01,2020-09-01,Sonstige Erneuerbare,99228.5,2020,8
2020-08-01,2020-09-01,Sonstige Konventionelle,1018625.75,2020,8
2020-08-01,2020-09-01,Steinkohle,2169872.25,2020,8
2020-08-01,2020-09-01,Wasserkraft,1485637.25,2020,8
2020-08-01,2020-09-01,Wind offshore,1578507.5,2020,8
2020-08-01,2020-09-01,Wind onshore,5136716.0,2020,8
2020-09-01,2020-10-01,Biomasse,3130750.0,2020,9
2020-09-01,2020-10-01,Braunkohle,7882319.75,2020,9
2020-09-01,2020-10-01,Erdgas,5403765.5,2020,9
2020-09-01,2020-10-01,Kernenergie,5295337.75,2020,9
2020-09-01,2020-10-01,Photovoltaik,4621951.25,2020,9
2020-09-01,2020-10-01,Pumpspeicher,818832.0,2020,9
2020-09-01,2020-10-01,Sonstige Erneuerbare,122388.25,2020,9
2020-09-01,2020-10-01,Sonstige Konventionelle,1032059.25,2020,9
2020-09-01,2020-10-01,Steinkohle,4071897.25,2020,9
2020-09-01,2020-10-01,Wasserkraft,1408659.25,2020,9
2020-09-01,2020-10-01,Wind offshore,1707981.5,2020,9
2020-09-01,2020-10-01,Wind onshore,4616155.0,2020,9
2020-10-01,2020-11-01,Biomasse,3352968.75,2020,10
2020-10-01,2020-11-01,Braunkohle,9243655.0,2020,10
2020-10-01,2020-11-01,Erdgas,5323656.75,2020,10
2020-10-01,2020-11-01,Kernenergie,5135208.75,2020,10
2020-10-01,2020-11-01,Photovoltaik,2143222.75,2020,10
2020-10-01,2020-11-01,Pumpspeicher,880252.5,2020,10
2020-10-01,2020-11-01,Sonstige Erneuerbare,137061.25,2020,10
2020-10-01,2020-11-01,Sonstige Konventionelle,1164712.25,2020,10
2020-10-01,2020-11-01,Steinkohle,3367480.25,2020,10
2020-10-01,2020-11-01,Wasserkraft,1408254.75,2020,10
2020-10-01,2020-11-01,Wind offshore,3092851.5,2020,10
2020-10-01,2020-11-01,Wind onshore,10799597.5,2020,10
2020-11-01,2020-12-01,Biomasse,3267976.25,2020,11
2020-11-01,2020-12-01,Braunkohle,9569487.0,2020,11
2020-11-01,2020-12-01,Erdgas,7229822.75,2020,11
2020-11-01,2020-12-01,Kernenergie,4782573.5,2020,11
2020-11-01,2020-12-01,Photovoltaik,1496017.5,2020,11
2020-11-01,2020-12-01,Pumpspeicher,854598.0,2020,11
2020-11-01,2020-12-01,Sonstige Erneuerbare,146819.0,2020,11
2020-11-01,2020-12-01,Sonstige Konventionelle,1092081.75,2020,11
2020-11-01,2020-12-01,Steinkohle,4965565.5,2020,11
2020-11-01,2020-12-01,Wasserkraft,1173208.5,2020,11
2020-11-01,2020-12-01,Wind offshore,2573274.5,2020,11
2020-11-01,2020-12-01,Wind onshore,8637458.0,2020,11
2020-12-01,2021-01-01,Biomasse,3420885.75,2020,12
2020-12-01,2021-01-01,Braunkohle,8806351.5,2020,12
2020-12-01,2021-01-01,Erdgas,7622210.25,2020,12
2020-12-01,2021-01-01,Kernenergie,5840034.75,2020,12
2020-12-01,2021-01-01,Photovoltaik,671166.0,2020,12
2020-12-01,2021-01-01,Pumpspeicher,879331.25,2020,12
2020-12-01,2021-01-01,Sonstige Erneuerbare,160327.0,2020,12
2020-12-01,2021-01-01,Sonstige Konventionelle,1162905.25,2020,12
2020-12-01,2021-01-01,Steinkohle,4714770.0,2020,12
2020-12-01,2021-01-01,Wasserkraft,1040625.75,2020,12
2020-12-01,2021-01-01,Wind offshore,2620454.5,2020,12
2020-12-01,2021-01-01,Wind onshore,9044689.25,2020,12
2021-01-01,2021-02-01,Biomasse,3390654.25,2021,1
2021-01-01,2021-02-01,Braunkohle,10260437.5,2021,1
2021-01-01,2021-02-01,Erdgas,7292294.75,2021,1
2021-01-01,2021-02-01,Kernenergie,5925379.0,2021,1
2021-01-01,2021-02-01,Photovoltaik,600445.75,2021,1
2021-01-01,2021-02-01,Pumpspeicher,797113.5,2021,1
2021-01-01,2021-02-01,Sonstige Erneuerbare,154603.0,2021,1
2021-01-01,2021-02-01,Sonstige Konventionelle,1190998.5,2021,1
2021-01-01,2021-02-01,Steinkohle,5111958.25,2021,1
2021-01-01,2021-02-01,Wasserkraft,992324.5,2021,1
2021-01-01,2021-02-01,Wind offshore,2263541.25,2021,1
2021-01-01,2021-02-01,Wind onshore,9190255.25,2021,1
2021-02-01,2021-03-01,Biomasse,2972072.25,2021,2
2021-02-01,2021-03-01,Braunkohle,7686818.75,2021,2
2021-02-01,2021-03-01,Erdgas,6358551.0,2021,2
2021-02-01,2021-03-01,Kernenergie,5343534.75,2021,2
2021-02-01,2021-03-01,Photovoltaik,1966106.5,2021,2
2021-02-01,2021-03-01,Pumpspeicher,680576.5,2021,2
2021-02-01,2021-03-01,Sonstige Erneuerbare,130328.0,2021,2
2021-02-01,2021-03-01,Sonstige Konventionelle,1019811.25,2021,2
2021-02-01,2021-03-01,Steinkohle,3350323.25,2021,2
2021-02-01,2021-03-01,Wasserkraft,1067784.75,2021,2
2021-02-01,2021-03-01,Wind offshore,2743174.5,2021,2
2021-02-01,2021-03-01,Wind onshore,8451315.0,2021,2
