Tabelle: 61243-0001
Strompreise für Haushalte: Deutschland, Halbjahre,;;;
Jahresverbrauchsklassen, Preisarten;;;
Durchschnittspreise für Strom und Gas;;;;;;
Deutschland;;;;;;
;Strompreise für Haushalte;;;;;
;Durchschnittspreise ohne Steuern, Abgaben, Umlagen;;Durchschnittspreise ohne Umsatzsteuer u.a. abz.St.;;Durchschnittspreise inkl.Steuern, Abgaben, Umlagen;
;EUR/kWh;EUR/kWh;EUR/kWh;EUR/kWh;EUR/kWh;EUR/kWh
2019;;;;;;
1. Halbjahr;;;;;;
unter 1 000 KWh;-;;-;;-;
1 000 bis unter 2 500 KWh;-;;-;;-;
2 500 bis unter 5 000 KWh;-;;-;;-;
5 000 bis unter 15 000 KWh;-;;-;;-;
15 000 KWh und mehr;-;;-;;-;
Insgesamt;-;;-;;-;
2. Halbjahr;;;;;;
unter 1 000 KWh;0,2733;e;0,3840;e;0,4570;e
1 000 bis unter 2 500 KWh;0,1621;e;0,2726;e;0,3244;e
2 500 bis unter 5 000 KWh;0,1321;e;0,2418;e;0,2878;e
5 000 bis unter 15 000 KWh;0,1139;e;0,2222;e;0,2644;e
15 000 KWh und mehr;0,0936;e;0,1992;e;0,2370;e
Insgesamt;0,1421;e;0,2514;e;0,2992;e
2020;;;;;;
1. Halbjahr;;;;;;
unter 1 000 KWh;0,2851;e;0,4001;e;0,4752;e
1 000 bis unter 2 500 KWh;0,1742;e;0,2890;e;0,3430;e
2 500 bis unter 5 000 KWh;0,1430;e;0,2564;e;0,3043;e
5 000 bis unter 15 000 KWh;0,1294;e;0,2414;e;0,2863;e
15 000 KWh und mehr;0,1085;e;0,2174;e;0,2579;e
Insgesamt;0,1558;e;0,2692;e;0,3194;e
2. Halbjahr;;;;;;
unter 1 000 KWh;0,2638;e;0,3810;e;0,4420;e
1 000 bis unter 2 500 KWh;0,1723;e;0,2881;e;0,3343;e
2 500 bis unter 5 000 KWh;0,1451;e;0,2591;e;0,3006;e
5 000 bis unter 15 000 KWh;0,1289;e;0,2414;e;0,2800;e
15 000 KWh und mehr;0,1077;e;0,2169;e;0,2523;e
Insgesamt;0,1545;e;0,2685;e;0,3116;e
2021;;;;;;
1. Halbjahr;;;;;;
unter 1 000 KWh;0,2725;e;0,3870;e;0,4606;e
1 000 bis unter 2 500 KWh;0,1827;e;0,2964;e;0,3527;e
2 500 bis unter 5 000 KWh;0,1562;e;0,2684;e;0,3193;e
5 000 bis unter 15 000 KWh;0,1357;e;0,2458;e;0,2924;e
15 000 KWh und mehr;0,1080;e;0,2142;e;0,2549;e
Insgesamt;0,1623;e;0,2741;e;0,3262;e
2. Halbjahr;;;;;;
unter 1 000 KWh;0,2852;e;0,3997;e;0,4756;e
1 000 bis unter 2 500 KWh;0,1877;e;0,3015;e;0,3588;e
2 500 bis unter 5 000 KWh;0,1596;e;0,2718;e;0,3234;e
5 000 bis unter 15 000 KWh;0,1377;e;0,2472;e;0,2941;e
15 000 KWh und mehr;0,1058;e;0,2109;e;0,2510;e
Insgesamt;0,1647;e;0,2763;e;0,3287;e
2022;;;;;;
1. Halbjahr;;;;;;
unter 1 000 KWh;0,3147;e;0,4029;e;0,4795;e
1 000 bis unter 2 500 KWh;0,2188;e;0,3061;e;0,3643;e
2 500 bis unter 5 000 KWh;0,1899;e;0,2756;e;0,3279;e
5 000 bis unter 15 000 KWh;0,1682;e;0,2517;e;0,2994;e
15 000 KWh und mehr;0,1470;e;0,2272;e;0,2703;e
Insgesamt;0,1963;e;0,2816;e;0,3350;e
