Datum von;Datum bis;Biomasse [MWh] Berechnete Auflösungen;Wasserkraft [MWh] Berechnete Auflösungen;Wind Offshore [MWh] Berechnete Auflösungen;Wind Onshore [MWh] Berechnete Auflösungen;Photovoltaik [MWh] Berechnete Auflösungen;Sonstige Erneuerbare [MWh] Berechnete Auflösungen;Kernenergie [MWh] Berechnete Auflösungen;Braunkohle [MWh] Berechnete Auflösungen;Steinkohle [MWh] Berechnete Auflösungen;Erdgas [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Sonstige Konventionelle [MWh] Berechnete Auflösungen
01.06.2020;01.07.2020;3.165.700,25;1.630.928,75;1.441.552,00;4.965.069,50;5.698.328,25;103.986,25;4.659.172,25;5.882.842,50;1.441.424,25;5.578.799,75;794.026,50;776.530,25
01.07.2020;01.08.2020;3.246.063,50;1.660.735,25;1.565.520,25;5.461.704,00;6.246.936,75;109.684,25;4.229.939,75;6.366.929,25;1.579.624,75;6.290.186,50;895.846,75;985.705,25
01.08.2020;01.09.2020;3.182.440,50;1.485.637,25;1.578.507,50;5.136.716,00;5.413.069,50;99.228,50;5.593.770,00;7.814.266,00;2.169.872,25;5.718.010,50;898.421,75;1.018.625,75
01.09.2020;01.10.2020;3.130.750,00;1.408.659,25;1.707.981,50;4.616.155,00;4.621.951,25;122.388,25;5.295.337,75;7.882.319,75;4.071.897,25;5.403.765,50;818.832,00;1.032.059,25
01.10.2020;01.11.2020;3.352.968,75;1.408.254,75;3.092.851,50;10.799.597,50;2.143.222,75;137.061,25;5.135.208,75;9.243.655,00;3.367.480,25;5.323.656,75;880.252,50;1.164.712,25
01.11.2020;01.12.2020;3.267.976,25;1.173.208,50;2.573.274,50;8.637.458,00;1.496.017,50;146.819,00;4.782.573,50;9.569.487,00;4.965.565,50;7.229.822,75;854.598,00;1.092.081,75
01.12.2020;01.01.2021;3.420.885,75;1.040.625,75;2.620.454,50;9.044.689,25;671.166,00;160.327,00;5.840.034,75;8.806.351,50;4.714.770,00;7.622.210,25;879.331,25;1.162.905,25
01.01.2021;01.02.2021;3.390.654,25;992.324,50;2.263.541,25;9.190.255,25;600.445,75;154.603,00;5.925.379,00;10.260.437,50;5.111.958,25;7.292.294,75;797.113,50;1.190.998,50
01.02.2021;01.03.2021;2.972.072,25;1.067.784,75;2.743.174,50;8.451.315,00;1.966.106,50;130.328,00;5.343.534,75;7.686.818,75;3.350.323,25;6.358.551,00;680.576,50;1.019.811,25
01.03.2021;01.04.2021;3.321.780,50;1.096.885,50;2.356.745,00;9.052.932,75;4.084.762,00;145.858,25;5.502.068,00;7.844.513,50;3.502.914,00;6.603.361,75;770.015,25;1.170.678,50
01.04.2021;01.05.2021;3.215.143,75;1.028.506,25;1.775.864,25;7.709.987,75;5.411.394,25;113.368,50;5.145.542,75;7.086.525,50;3.452.755,50;5.587.178,00;656.823,00;1.077.606,50
01.05.2021;01.06.2021;3.348.917,75;1.547.943,00;1.287.883,50;8.792.241,50;5.861.740,75;109.287,50;5.277.141,25;5.706.664,75;2.393.617,25;3.589.174,50;571.920,75;1.111.334,50
01.06.2021;01.07.2021;2.948.925,50;1.785.436,00;1.050.447,75;3.349.814,25;7.090.809,50;84.571,50;4.945.204,50;8.055.826,00;3.163.581,75;4.697.738,00;649.711,50;1.042.888,00
01.07.2021;01.08.2021;3.074.738,75;1.719.840,50;1.257.519,00;4.686.137,75;6.208.818,25;88.232,50;5.516.786,75;7.429.940,25;3.601.010,00;3.929.686,75;555.176,50;1.050.985,00
01.08.2021;01.09.2021;3.102.114,00;1.737.281,00;1.906.611,75;6.171.110,50;5.247.086,75;94.262,75;5.792.832,00;7.545.135,25;2.867.174,25;2.667.497,25;612.267,75;1.086.028,75
01.09.2021;01.10.2021;3.030.714,00;1.233.361,00;1.356.177,25;4.453.358,50;4.766.983,00;93.834,00;5.457.143,00;8.727.431,00;6.440.081,50;3.791.551,50;648.898,50;961.596,50
01.10.2021;01.11.2021;3.230.222,50;907.810,75;2.923.248,25;10.151.375,50;3.189.160,00;128.212,50;5.300.847,50;8.951.692,25;4.828.411,50;3.548.072,00;692.777,50;1.073.711,75
01.11.2021;01.12.2021;3.237.410,50;840.243,25;2.533.268,75;7.803.281,75;1.099.522,75;143.117,00;5.601.700,50;9.301.506,50;7.012.461,50;6.047.484,50;807.549,50;1.140.535,75
01.12.2021;01.01.2022;3.362.434,25;931.017,75;2.555.839,25;9.753.297,25;704.116,50;146.191,50;5.597.806,50;9.605.742,00;6.117.467,50;6.008.048,75;821.524,75;1.172.383,75
01.01.2022;01.02.2022;3.333.170,75;999.362,25;3.134.229,00;12.958.027,75;932.867,25;146.350,50;2.906.690,00;8.767.986,25;6.705.602,75;6.652.422,50;819.087,75;1.043.180,00
01.02.2022;01.03.2022;3.032.446,00;742.255,25;2.984.977,75;17.678.625,75;2.218.658,50;124.712,00;2.695.466,00;6.445.883,75;4.815.825,50;4.510.018,75;687.026,75;979.130,25
01.03.2022;01.04.2022;3.392.792,00;836.591,25;1.403.310,00;6.767.806,50;5.589.014,00;139.784,25;2.973.913,00;9.322.134,75;7.223.740,50;6.014.687,00;770.501,50;1.142.504,50
01.04.2022;01.05.2022;3.183.136,25;946.574,00;1.917.507,50;9.519.700,75;5.768.880,25;115.795,00;2.865.644,50;8.360.134,00;4.127.135,50;3.991.558,50;725.676,75;998.013,50
01.05.2022;01.06.2022;3.158.014,00;1.323.966,00;1.480.282,00;6.435.156,50;7.602.797,75;89.508,00;2.237.942,75;8.269.461,75;3.248.352,25;2.608.171,00;751.087,50;920.630,75
01.06.2022;01.07.2022;2.971.898,75;1.389.632,00;1.164.180,75;4.400.445,25;7.988.982,75;82.282,25;2.171.814,75;8.996.675,25;3.616.988,75;2.333.553,00;829.239,25;864.161,75
01.07.2022;01.08.2022;3.013.365,50;1.194.125,00;1.773.079,25;5.489.588,25;7.846.615,25;84.553,00;2.924.644,50;8.868.871,75;4.324.216,50;4.437.866,00;949.070,75;902.612,25
01.08.2022;01.09.2022;3.014.533,50;1.154.056,25;1.018.192,75;3.512.435,00;7.228.867,00;83.707,00;2.940.986,50;8.915.118,50;5.637.572,75;2.588.600,75;793.891,75;884.578,75
01.09.2022;01.10.2022;3.021.267,75;1.106.036,50;1.910.452,25;6.171.748,75;4.726.082,25;84.683,00;2.892.888,50;8.737.581,50;6.126.504,25;2.034.110,75;846.252,75;885.732,50
01.10.2022;01.11.2022;3.197.815,75;1.193.369,50;2.466.036,25;8.595.915,25;3.512.126,50;90.431,75;2.669.763,25;8.701.680,50;3.734.602,50;2.548.262,25;956.476,75;903.465,00
01.11.2022;01.12.2022;3.135.587,75;984.249,75;2.818.895,75;10.082.870,25;1.671.932,00;119.490,00;2.836.794,75;9.264.454,00;6.014.713,25;3.138.648,75;1.001.468,75;928.780,75
01.12.2022;01.01.2023;3.284.209,75;934.232,25;2.676.697,75;9.372.948,50;640.601,50;129.396,00;2.707.921,00;8.875.605,00;7.314.615,25;4.920.364,75;1.024.043,25;1.062.757,00
01.01.2023;01.02.2023;3.366.888,25;1.039.921,50;2.730.538,00;14.643.045,25;824.251,50;107.191,00;1.730.648,00;8.019.967,50;5.911.769,00;3.889.810,75;970.106,50;1.328.746,50
01.02.2023;01.03.2023;3.071.768,50;822.648,00;1.639.371,00;10.406.607,50;2.309.490,25;108.608,00;1.903.875,25;8.014.189,50;6.022.309,25;5.335.353,00;673.926,75;1.283.456,50
01.03.2023;01.04.2023;3.352.666,00;984.225,25;2.434.298,50;12.079.635,75;3.735.177,75;122.594,50;2.138.099,75;7.244.520,50;4.151.686,00;4.866.427,00;967.265,50;1.456.685,50
01.04.2023;01.05.2023;3.174.927,00;1.055.997,50;1.734.890,75;8.346.806,25;5.522.118,25;107.037,50;968.116,25;6.724.242,00;2.901.041,25;3.561.931,25;939.114,75;1.301.409,00
01.05.2023;01.06.2023;3.172.380,25;1.578.014,25;1.580.524,75;6.741.772,75;8.019.121,75;96.051,75;0,00;5.255.880,75;1.608.487,00;3.484.666,25;927.695,25;1.333.765,50
01.06.2023;01.07.2023;2.930.674,25;1.515.030,75;1.190.448,00;4.851.659,50;8.904.774,50;76.534,25;0,00;5.537.486,50;1.664.665,25;4.115.802,75;755.777,00;1.144.208,50
01.07.2023;01.08.2023;2.972.075,25;1.456.619,00;1.794.391,50;8.358.710,50;7.693.868,50;76.693,75;0,00;4.591.588,50;1.535.638,00;3.737.676,75;691.008,75;1.395.953,75
01.08.2023;01.09.2023;3.026.313,25;1.507.786,75;1.192.894,00;5.752.548,25;6.537.509,25;82.092,00;0,00;5.389.195,75;2.282.123,25;4.016.100,50;829.334,50;1.366.379,75
01.09.2023;01.10.2023;2.896.349,50;1.331.288,00;1.335.142,50;5.315.447,50;6.558.575,00;89.687,50;0,00;6.380.647,75;2.559.617,50;3.587.106,75;826.190,00;1.458.108,25
01.10.2023;01.11.2023;3.076.700,75;1.031.028,75;2.577.212,75;11.832.075,00;3.310.175,75;104.358,00;0,00;6.617.187,00;3.220.046,25;3.879.790,75;904.607,00;1.465.643,00
01.11.2023;01.12.2023;3.088.185,75;1.351.629,00;2.319.520,25;14.411.570,50;1.367.921,75;115.398,75;0,00;7.164.197,00;3.958.817,25;5.090.586,00;852.006,25;1.389.172,50
01.12.2023;01.01.2024;3.166.389,25;1.345.611,50;2.990.697,50;16.267.234,75;761.045,00;118.933,75;0,00;6.904.953,50;3.933.812,75;5.524.589,25;838.946,00;1.434.812,00
