Datum von;Datum bis;Nettoexport [MWh] Berechnete Auflösungen;Niederlande (Export) [MWh] Berechnete Auflösungen;Niederlande (Import) [MWh] Berechnete Auflösungen;Schweiz (Export) [MWh] Berechnete Auflösungen;Schweiz (Import) [MWh] Berechnete Auflösungen;Dänemark (Export) [MWh] Berechnete Auflösungen;Dänemark (Import) [MWh] Berechnete Auflösungen;Tschechien (Export) [MWh] Berechnete Auflösungen;Tschechien (Import) [MWh] Berechnete Auflösungen;Luxemburg (Export) [MWh] Berechnete Auflösungen;Luxemburg (Import) [MWh] Berechnete Auflösungen;Schweden (Export) [MWh] Berechnete Auflösungen;Schweden (Import) [MWh] Berechnete Auflösungen;Österreich (Export) [MWh] Berechnete Auflösungen;Österreich (Import) [MWh] Berechnete Auflösungen;Frankreich (Export) [MWh] Berechnete Auflösungen;Frankreich (Import) [MWh] Berechnete Auflösungen;Polen (Export) [MWh] Berechnete Auflösungen;Polen (Import) [MWh] Berechnete Auflösungen;Norwegen (Export) [MWh] Berechnete Auflösungen;Norwegen (Import) [MWh] Berechnete Auflösungen;Belgien (Export) [MWh] Berechnete Auflösungen;Belgien (Import) [MWh] Berechnete Auflösungen
01.10.2020;01.11.2020;-;577.736,00;-164.176,00;487.676,00;-120.597,00;162.887,00;-884.087,00;728.204,00;-320.587,00;336.784,00;0,00;14.729,00;-296.909,00;1.693.953,00;-87.730,00;1.089.359,00;-245.803,00;316.940,00;-33.436,00;0,00;0,00;-;-
01.11.2020;01.12.2020;-;663.997,00;-267.768,00;470.973,00;-257.706,00;126.612,00;-818.154,00;492.723,00;-357.881,00;336.587,00;0,00;82.529,00;-182.473,00;2.292.729,00;-13.976,00;931.534,00;-396.346,00;175.634,00;-34.624,00;0,00;0,00;-;-
01.12.2020;01.01.2021;3.260.895,25;620.254,00;-333.759,00;658.504,00;-79.372,00;204.699,00;-1.371.840,00;464.021,00;-364.939,00;332.266,00;0,00;37.580,00;-276.875,00;2.458.308,00;-52.566,00;1.219.452,00;-237.036,00;137.053,00;-112.184,00;37.004,00;-199.774,00;245.404,75;-125.305,50
01.01.2021;01.02.2021;3.351.904,50;661.500,00;-231.799,00;693.264,00;-68.366,00;459.583,00;-1.234.312,00;325.028,00;-673.050,00;353.807,00;0,00;29.447,00;-204.512,00;1.774.647,00;-94.534,00;1.862.958,00;-254.115,00;75.560,00;-199.079,00;55.833,00;-302.740,00;473.917,75;-151.133,25
01.02.2021;01.03.2021;2.051.205,25;304.702,00;-610.980,00;597.629,00;-68.275,00;612.760,00;-692.948,00;435.773,00;-358.512,00;318.833,00;0,00;99.487,00;-79.018,00;1.776.295,00;-67.131,00;572.649,00;-773.758,00;200.721,00;-100.062,00;129.481,00;-163.093,00;228.625,75;-311.973,50
01.03.2021;01.04.2021;1.972.222,00;296.982,00;-911.669,00;766.133,00;-74.669,00;376.741,00;-1.441.372,00;456.506,00;-324.783,00;347.247,00;0,00;29.849,00;-171.863,00;2.269.989,00;-6.541,00;948.442,00;-487.631,00;203.264,00;-91.982,00;129.274,00;-279.297,00;240.902,25;-303.300,25
01.04.2021;01.05.2021;2.039.848,75;183.271,00;-556.194,00;575.395,00;-65.006,00;231.719,00;-1.515.703,00;863.532,00;-221.088,00;323.332,00;0,00;9.530,00;-329.395,00;1.856.939,00;-47.555,00;1.224.214,00;-228.075,00;141.167,00;-182.970,00;99.128,00;-435.642,00;325.712,50;-212.462,75
01.05.2021;01.06.2021;-254.833,25;346.662,00;-462.445,00;342.485,00;-509.097,00;594.160,00;-925.628,00;664.039,00;-374.182,00;303.021,00;0,00;39.386,00;-202.795,00;825.727,00;-449.877,00;492.735,00;-725.597,00;197.791,00;-185.527,00;187.901,00;-430.792,00;203.904,00;-186.704,25
01.06.2021;01.07.2021;-850.847,75;593.872,00;-304.573,00;234.951,00;-764.351,00;288.416,00;-717.156,00;559.826,00;-454.838,00;309.563,00;0,00;14.023,00;-69.547,00;702.425,00;-251.540,00;323.529,00;-750.174,00;222.338,00;-246.542,00;37.274,00;-506.766,00;218.507,00;-290.084,75
01.07.2021;01.08.2021;-1.162.822,50;476.212,00;-476.028,00;139.870,00;-1.138.537,00;303.179,00;-878.037,00;508.713,00;-453.947,00;310.173,00;0,00;7.318,00;-143.085,00;1.254.074,00;-92.335,00;284.392,00;-666.998,00;342.743,00;-341.344,00;40.427,00;-495.195,00;184.094,00;-328.511,50
