Datum von;Datum bis;Nettoexport [MWh] Berechnete Auflösungen;Niederlande (Export) [MWh] Berechnete Auflösungen;Niederlande (Import) [MWh] Berechnete Auflösungen;Schweiz (Export) [MWh] Berechnete Auflösungen;Schweiz (Import) [MWh] Berechnete Auflösungen;Dänemark (Export) [MWh] Berechnete Auflösungen;Dänemark (Import) [MWh] Berechnete Auflösungen;Tschechien (Export) [MWh] Berechnete Auflösungen;Tschechien (Import) [MWh] Berechnete Auflösungen;Luxemburg (Export) [MWh] Berechnete Auflösungen;Luxemburg (Import) [MWh] Berechnete Auflösungen;Schweden (Export) [MWh] Berechnete Auflösungen;Schweden (Import) [MWh] Berechnete Auflösungen;Österreich (Export) [MWh] Berechnete Auflösungen;Österreich (Import) [MWh] Berechnete Auflösungen;Frankreich (Export) [MWh] Berechnete Auflösungen;Frankreich (Import) [MWh] Berechnete Auflösungen;Polen (Export) [MWh] Berechnete Auflösungen;Polen (Import) [MWh] Berechnete Auflösungen;Norwegen (Export) [MWh] Berechnete Auflösungen;Norwegen (Import) [MWh] Berechnete Auflösungen;Belgien (Export) [MWh] Berechnete Auflösungen;Belgien (Import) [MWh] Berechnete Auflösungen
01.02.2025;01.03.2025;-1.505.560,52;293.906,45;-1.357.334,05;620.888,62;-258.344,59;230.834,60;-1.824.993,70;545.347,02;-199.153,55;334.289,55;0,00;1.843,00;-257.603,00;1.359.350,55;-50.313,18;481.472,16;-834.135,06;504.237,90;-263.444,50;12.197,00;-817.659,00;374.918,40;-401.865,15
01.03.2025;01.04.2025;-1.992.665,08;372.992,75;-1.281.576,85;780.431,37;-175.907,45;431.235,52;-1.906.988,90;403.286,37;-315.267,00;304.035,13;0,00;39.212,00;-265.244,00;1.024.887,18;-98.117,53;317.794,77;-813.353,00;351.809,38;-335.792,35;40.878,50;-595.481,00;230.824,45;-502.324,42
01.04.2025;01.05.2025;-2.561.245,81;415.928,15;-787.856,93;421.552,71;-578.614,52;734.550,22;-1.479.606,80;324.723,67;-408.142,73;263.055,00;0,00;49.486,00;-306.977,00;592.693,40;-258.162,84;160.130,33;-923.100,37;297.476,18;-424.048,35;119.264,00;-602.044,25;133.348,47;-304.900,18
01.05.2025;01.06.2025;-1.859.347,19;405.486,65;-999.239,15;215.091,91;-1.016.162,18;776.816,05;-1.310.520,82;566.852,78;-233.161,93;253.360,26;0,00;77.932,00;-207.457,00;837.477,15;-103.711,10;113.004,57;-1.055.589,84;568.261,32;-213.781,70;204.919,00;-571.555,00;219.815,78;-387.185,95
01.06.2025;01.07.2025;-1.152.432,91;435.678,50;-713.626,90;250.325,22;-1.066.208,91;848.573,32;-1.408.698,98;559.870,15;-125.512,98;247.326,31;0,00;64.902,00;-252.116,00;716.124,42;-97.334,34;337.331,65;-897.922,48;416.840,05;-211.957,75;207.690,75;-479.002,25;466.476,13;-451.190,82
01.07.2025;01.08.2025;-3.061.159,14;354.200,20;-1.142.532,70;304.671,08;-864.062,78;502.774,05;-1.493.164,12;528.544,88;-248.772,10;283.084,51;0,00;17.989,00;-379.734,00;913.746,37;-109.402,16;144.854,94;-1.357.383,40;514.335,05;-238.038,40;85.891,75;-639.141,50;323.260,48;-562.280,28
01.08.2025;01.09.2025;-3.379.186,93;353.243,05;-1.239.532,65;267.950,69;-819.529,97;836.420,43;-1.225.391,53;325.480,43;-432.315,43;237.840,87;0,00;68.813,00;-209.368,00;510.962,64;-243.306,99;149.585,25;-1.299.458,22;468.872,43;-359.553,08;171.148,25;-583.350,25;294.361,55;-652.059,40
01.09.2025;01.10.2025;-1.880.876,49;409.933,45;-1.103.234,25;421.643,24;-545.686,59;619.702,88;-1.384.134,58;613.515,92;-158.721,20;265.561,71;0,00;55.868,00;-249.601,00;1.038.552,87;-84.364,52;110.832,10;-1.230.522,37;620.970,15;-158.062,07;69.776,25;-668.013,00;172.431,25;-697.324,73
01.10.2025;01.11.2025;-110.669,86;539.517,22;-701.573,52;526.932,65;-391.863,60;849.427,67;-1.506.396,38;712.972,40;-155.486,38;310.083,61;0,00;42.297,00;-136.431,75;1.331.494,49;-82.198,07;105.895,87;-1.066.138,32;621.333,45;-153.161,83;89.428,00;-764.016,25;296.693,70;-579.479,85
01.11.2025;01.12.2025;-2.475.209,70;243.148,73;-1.442.965,70;581.708,05;-259.049,76;334.009,60;-1.975.491,17;739.579,42;-101.626,18;322.274,17;0,00;10.363,75;-116.754,25;1.585.727,17;-31.708,01;4.452,45;-1.646.970,27;692.093,20;-76.009,43;32.026,00;-837.773,50;151.561,25;-683.805,23
01.12.2025;01.01.2026;-1.428.306,93;362.461,10;-1.513.065,70;630.941,37;-161.586,73;445.455,07;-2.098.089,12;931.347,93;-97.814,67;319.453,54;0,00;1.189,25;-138.780,50;1.920.233,03;-18.355,79;91.656,42;-1.561.037,13;789.265,37;-88.060,30;59.397,50;-886.499,00;222.711,05;-639.129,62
