"jahr","land","handelsart","gesamt_handelsmenge"
2025,"Frankreich","Import","-13690188.54"
2025,"Gesamt","Nettoexport","-21922989.15"
2025,"Oesterreich","Import","-1226923.60"
2025,"Tschechien","Import","-2652481.70"
2025,"Norwegen","Import","-8190219.00"
2025,"Polen","Export","6256059.38"
2025,"Norwegen","Export","1173374.00"
2025,"Frankreich","Export","2469902.46"
2025,"Niederlande","Import","-13091625.85"
2025,"Schweiz","Import","-6461038.51"
2025,"Polen","Import","-2826865.06"
2025,"Schweden","Export","447333.00"
2025,"Oesterreich","Export","13451488.20"
2025,"Schweiz","Export","5561040.98"
2025,"Niederlande","Export","4693769.50"
2025,"Belgien","Export","3334278.41"
2025,"Daenemark","Import","-19415838.60"
2025,"Luxemburg","Export","3485753.76"
2025,"Daenemark","Export","7045223.11"
2025,"Tschechien","Export","6852173.92"
2025,"Schweden","Import","-2858755.50"
